Timestamp;Topic;Payload
2025-08-10 16:52:30.795;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:30"", ""UpTime"": 1 }"
2025-08-10 16:52:30.820;rai/jdm7/sensors;"{""tempOnSun_C"": 27.00,""tempInShadow_C"": 27.83,""humidity_%RH"": 62.07,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:30.821;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:31.817;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:31"", ""UpTime"": 2 }"
2025-08-10 16:52:31.818;rai/jdm7/sensors;"{""tempOnSun_C"": 26.87,""tempInShadow_C"": 27.84,""humidity_%RH"": 62.07,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:31.819;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:31.820;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:31"", ""UpTime"": 2 }"
2025-08-10 16:52:31.821;rai/jdm7/sensors;"{""tempOnSun_C"": 26.87,""tempInShadow_C"": 27.84,""humidity_%RH"": 62.07,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:32.737;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:32"", ""UpTime"": 3 }"
2025-08-10 16:52:32.749;rai/jdm7/sensors;"{""tempOnSun_C"": 26.94,""tempInShadow_C"": 27.84,""humidity_%RH"": 62.07,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:32.764;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:33.763;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:33"", ""UpTime"": 4 }"
2025-08-10 16:52:33.764;rai/jdm7/sensors;"{""tempOnSun_C"": 26.94,""tempInShadow_C"": 27.84,""humidity_%RH"": 62.07,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:33.765;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:34.702;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:34"", ""UpTime"": 5 }"
2025-08-10 16:52:34.703;rai/jdm7/sensors;"{""tempOnSun_C"": 26.94,""tempInShadow_C"": 27.84,""humidity_%RH"": 61.93,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:34.717;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:35.708;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:35"", ""UpTime"": 6 }"
2025-08-10 16:52:35.709;rai/jdm7/sensors;"{""tempOnSun_C"": 26.94,""tempInShadow_C"": 27.85,""humidity_%RH"": 61.64,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:35.710;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:36.733;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:36"", ""UpTime"": 7 }"
2025-08-10 16:52:36.733;rai/jdm7/sensors;"{""tempOnSun_C"": 26.94,""tempInShadow_C"": 27.85,""humidity_%RH"": 61.40,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:36.734;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:37.654;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:37"", ""UpTime"": 8 }"
2025-08-10 16:52:37.655;rai/jdm7/sensors;"{""tempOnSun_C"": 27.00,""tempInShadow_C"": 27.85,""humidity_%RH"": 61.23,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:37.656;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:37.682;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:37"", ""UpTime"": 8 }"
2025-08-10 16:52:37.700;rai/jdm7/sensors;"{""tempOnSun_C"": 27.00,""tempInShadow_C"": 27.85,""humidity_%RH"": 61.23,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:38.678;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:38"", ""UpTime"": 9 }"
2025-08-10 16:52:38.679;rai/jdm7/sensors;"{""tempOnSun_C"": 26.94,""tempInShadow_C"": 27.85,""humidity_%RH"": 61.11,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:38.680;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:39.702;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:39"", ""UpTime"": 10 }"
2025-08-10 16:52:39.703;rai/jdm7/sensors;"{""tempOnSun_C"": 26.94,""tempInShadow_C"": 27.85,""humidity_%RH"": 61.05,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:39.703;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:40.623;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:40"", ""UpTime"": 11 }"
2025-08-10 16:52:40.624;rai/jdm7/sensors;"{""tempOnSun_C"": 26.94,""tempInShadow_C"": 27.85,""humidity_%RH"": 60.97,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:40.625;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:41.647;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:41"", ""UpTime"": 12 }"
2025-08-10 16:52:41.648;rai/jdm7/sensors;"{""tempOnSun_C"": 26.94,""tempInShadow_C"": 27.85,""humidity_%RH"": 60.82,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
2025-08-10 16:52:41.648;rai/jdm7/relays;"{""R01"":{""state"":""Opened"",""cmd"":""1""},""R02"":{""state"":""Opened"",""cmd"":""2""},""R03"":{""state"":""Opened"",""cmd"":""3""},""R04"":{""state"":""Opened"",""cmd"":""4""},""R05"":{""state"":""Closed"",""cmd"":""0""},""R06"":{""state"":""Closed"",""cmd"":""0""},""R07"":{""state"":""Closed"",""cmd"":""0""},""R08"":{""state"":""Closed"",""cmd"":""0""},""R09"":{""state"":""Closed"",""cmd"":""0""},""R10"":{""state"":""Closed"",""cmd"":""0""},""R11"":{""state"":""Closed"",""cmd"":""0""},""R12"":{""state"":""Closed"",""cmd"":""0""},""R13"":{""state"":""Closed"",""cmd"":""0""},""R14"":{""state"":""Closed"",""cmd"":""0""},""R15"":{""state"":""Closed"",""cmd"":""0""},""R16"":{""state"":""Closed"",""cmd"":""0""}}"
2025-08-10 16:52:42.569;rai/jdm7/localTime;"{ ""LocalTime"": ""2025-8-10 16:52:42"", ""UpTime"": 13 }"
2025-08-10 16:52:42.571;rai/jdm7/sensors;"{""tempOnSun_C"": 26.94,""tempInShadow_C"": 27.85,""humidity_%RH"": 60.73,""flowRate_LitMin"": null,""flowDaySum_Min"": 0.00,""rainSensor_0-99"": 14.00,""light_0-99"": 26.00,""waterPressure_bar"": 14.00,""soilMoistureLocal_0-99"": 11.00,""soilMoisture"": [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""valid"": true}"
